<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
SABIC,20040114,33.1737,33.2987,32.4987,32.8987,636104
SABIC,20040113,33.0487,33.4987,32.9987,33.1987,1090252
SABIC,20040112,32.9987,33.1237,32.8237,33.0987,367205
SABIC,20040111,33.1987,33.2987,32.9237,33.0737,869534
SABIC,20040110,32.9987,33.1987,32.8987,33.0987,513833
SABIC,20040108,32.7737,32.9737,32.6987,32.8987,102386
SABIC,20040107,32.4487,33.1987,32.3487,32.7737,958535
SABIC,20040106,32.4487,32.5987,32.2237,32.3987,270509
SABIC,20040105,32.5487,32.5987,32.4237,32.5987,170982
SABIC,20040104,32.4237,32.7237,32.4237,32.5737,399702
SABIC,20040103,32.9737,33.2737,32.0987,32.5237,1375571
SABIC,20040101,32.7987,33.1237,32.6487,33.0987,455415
SABIC,20031231,32.5237,33.6987,32.2487,32.9737,3678348
SABIC,20031230,31.7987,32.4987,31.6987,32.3987,1014755
SABIC,20031229,31.6987,31.8487,31.6487,31.7487,454395
SABIC,20031228,31.2987,31.7237,31.0988,31.6487,415487
SABIC,20031227,31.5987,31.6737,30.9988,31.5487,395307
SABIC,20031225,31.4987,31.7487,31.4487,31.6987,137806
SABIC,20031224,31.9737,31.9987,31.5237,31.5737,414044
SABIC,20031223,31.3737,31.8737,31.2987,31.8487,636902
SABIC,20031222,32.0237,32.0237,31.2987,31.3487,773207
SABIC,20031221,32.3987,32.3987,31.8487,32.0237,779521
SABIC,20031220,32.8487,32.8737,32.3987,32.4987,531316
SABIC,20031218,32.8487,32.8987,32.7737,32.8487,197374
SABIC,20031217,32.4237,32.9487,32.3987,32.8987,1165797
SABIC,20031216,32.4487,32.5737,32.2487,32.4237,965808
SABIC,20031215,31.9987,32.4237,31.8737,32.3987,1457000
SABIC,20031214,31.8237,32.1487,31.7237,32.0487,558011
SABIC,20031213,31.7987,31.8987,31.7237,31.7987,149818
SABIC,20031211,31.8487,31.9737,31.7237,31.8237,99785
SABIC,20031210,31.9487,31.9987,31.6987,31.9487,269088
SABIC,20031209,31.9737,31.9987,31.8237,31.8987,134679
SABIC,20031208,31.8237,32.0987,31.7987,31.9737,497136
SABIC,20031207,31.8237,31.9987,31.6237,31.8987,217716
SABIC,20031206,31.9237,32.0737,31.8237,31.8987,256956
SABIC,20031204,31.9487,32.0737,31.9237,32.0487,107715
SABIC,20031203,31.8987,32.0487,31.7987,31.9487,284728
SABIC,20031202,32.0987,32.1487,31.5987,31.8487,711715
SABIC,20031201,31.8737,32.1737,31.7987,32.1487,1250757
SABIC,20031130,31.9737,32.1237,31.6987,31.8987,663147
SABIC,20031129,31.4987,31.8987,31.4237,31.8237,1045109
SABIC,20031120,31.2488,31.4487,31.1988,31.3737,307649
SABIC,20031119,30.8988,31.2488,30.8488,31.2488,448847
